index,0,1,2,3,4,5
173,"392 - SOLE MESTRE Jordi
COMPRESSPORT TEAM",V1H,57,32:27:18,12:15:34,España
174,1755 - KRACAW Dana,SEF,11,32:30:23,12:18:39,Estados Unidos
175,"2068 - SHIMMYO Kentaro
HATAKE STUDIO",SEH,90,32:31:11,12:19:27,Japón
176,696 - SIENER Tom,V1H,58,32:32:01,12:20:17,Alemania
177,2325 - HUNT Jay,SEH,91,32:34:54,12:23:10,Estados Unidos
178,2455 - MONVILLE Hugo,SEH,92,32:36:15,12:24:31,Francia
179,"843 - ESCUREDO Zendoa
BIHOTZ GAZTEA",SEH,93,32:38:09,12:26:25,España
180,"2434 - MASSAGUE Antoni
UE VIC - LLUNA PLENA",V1H,59,32:38:54,12:27:10,España
181,"2272 - ESCANO MARTIN Daniel
NUTRIONDE",SEH,94,32:39:41,12:27:57,España
182,615 - GRUCKER Laurent,V1H,60,32:39:52,12:28:08,Francia
183,"1929 - HEERMAN Mikael
PERAKYLAN PONNISTUS (La Tribu des Bouseaux)",V1H,61,32:40:44,12:29:00,Finlandia
184,"541 - JULIAN RUBIO Jesus
AURRERA MENDI TALDEA",V1H,62,32:41:31,12:29:47,España
185,"964 - LOYER Lucien
BEAUVAIS TRIATHLON",SEH,95,32:44:36,12:32:52,Francia
186,"363 - SCOBIE Stephen
SERPENTINE CLUB",V2H,12,32:44:47,12:33:03,Reino Unido
187,2227 - CLEMENTS Bill,SEH,96,32:45:01,12:33:17,Estados Unidos
188,190 - MEDINA Paulo,SEH,97,32:45:02,12:33:18,Perú
189,"2189 - JOVANCHEV Jovica
TREX",SEH,98,32:46:32,12:34:48,Macedonia del Norte
190,702 - OHNO Takuhei,SEH,99,32:47:12,12:35:28,Japón
191,2163 - THIEBAUT Romain,SEH,100,32:50:53,12:39:09,Francia
192,834 - MONTICOLO Paolo,V1H,63,32:52:09,12:40:25,Italia
193,"2004 - VEGA GONZALEZ Samuel
C. D. ARISTA",SEH,101,32:53:29,12:41:45,España
194,"168 - BOURGEOIS Jean-Paul
Esprit Trail Amis",V1H,64,32:54:01,12:42:17,Francia
195,"2622 - JEANNEY Gaetan
ESPRIT TRAIL AMIS",SEH,102,32:54:02,12:42:18,Francia
196,"1766 - MATHERS Dale
NEWRY CITY RUNNERS",V2H,13,32:54:27,12:42:43,Reino Unido
197,1080 - MOLSKI Kuba,SEH,103,32:54:53,12:43:09,Polonia
198,"1383 - TROMAN Dave
KESWICK AC",V1H,65,32:56:48,12:45:04,Reino Unido
199,"1605 - MOFFAT John
HIGHLAND HILL RUNNERS",V2H,14,32:57:05,12:45:21,Reino Unido
200,"631 - CLARIS Yannick
NEOTRAIL",SEH,104,33:00:55,12:49:11,Francia
201,742 - FALEMPE Antoine,SEH,105,33:00:59,12:49:15,Francia
202,2264 - PAVON RUIZ Sergio,SEH,106,33:02:27,12:50:43,España
203,"1922 - ZENG Huafeng
TECNICA",V1H,66,33:03:22,12:51:38,China
204,"963 - MONJE PUIGDENGOLAS Oscar
MUNTANYENC SANT CUGAT",SEH,107,33:03:49,12:52:05,España
205,"322 - LIPPMAN Jason
TEAM ICEBREAKER",V1H,67,33:04:25,12:52:41,Estados Unidos
206,2416 - SCHLUCHTER Adrien,V3H,2,33:04:59,12:53:15,Suiza
207,493 - SORARRAIN URRUZOLA Eneko,SEH,108,33:08:08,12:56:24,España
208,"989 - CHEVAL Emmanuel
CA LUCON",SEH,108,33:08:08,12:56:24,Francia
209,"2638 - NOVALES GALINDEZ Fernando
ALPINO UBIETAMENDI",SEH,110,33:12:07,13:00:23,España
210,"692 - PLUMEJEAU Pierre
COURIR EN LAYON",SEH,111,33:12:17,13:00:33,Francia
211,333 - PEARSON James,V2H,15,33:12:56,13:01:12,Reino Unido
212,583 - PIERUCCI Thomas,SEH,112,33:13:10,13:01:26,Francia
213,2326 - LAGUNA Fernando,SEH,113,33:14:20,13:02:36,España
214,"2208 - SPINKS Nicky
MyRaceKit",V1F,5,33:15:19,13:03:35,Reino Unido
215,2460 - VIGNERON Julian,SEH,114,33:16:18,13:04:34,Francia
216,"1490 - KUEHNE Ulf
#TEAM_EASTRUN",V1H,68,33:16:53,13:05:09,Alemania
217,637 - PAREIGAT Andre,SEH,115,33:16:54,13:05:10,Alemania
218,"254 - PERRIN Valerick
TRIATHLONS",V1H,69,33:17:13,13:05:29,Francia
219,1894 - CHROMIK Michael Gregor,SEH,116,33:17:21,13:05:37,Alemania
220,1390 - CHAMBRIARD Loic,V1H,70,33:18:08,13:06:24,Francia
221,"2355 - TAULEIGNE Fabrice
ALLAN 26",V2H,16,33:19:34,13:07:50,Francia
222,1612 - MATSUSHIMA Takaharu,SEH,117,33:31:08,13:19:24,Japón
223,"1109 - DUARTE MOTA Jose Manuel
OS MATRECOS",V2H,17,33:31:28,13:19:44,Portugal
224,672 - RIUDAVETS GOMILA Raül,V1H,71,33:34:38,13:22:54,España
225,"2046 - STEENS Luc
RONVAU",V1H,72,33:37:01,13:25:17,Bélgica
226,"1377 - HOLZINGER Johann
AUSPOTEAM",V1H,73,33:37:04,13:25:20,Austria
227,2470 - BROYER Laurent,V1H,74,33:38:42,13:26:58,Francia
228,2353 - STEIDEL Jerome,V1H,75,33:39:36,13:27:52,Francia
229,"2581 - CUBER CABRERA Eduardo
MONTANA PIRINEOS",V1H,75,33:39:36,13:27:52,España
230,"1512 - NISHINA Soken
SPORCIVA",SEH,118,33:41:21,13:29:37,Japón
231,"590 - DE DONCKER Gregory
UNIVERS RUNNING",SEH,119,33:41:28,13:29:44,Francia
232,"321 - WILKINSON Thomas
ASPTT ANNECY",SEH,120,33:41:52,13:30:08,Reino Unido
233,"2417 - SROKA Wojciech
ULTRAMARATON PODKARPACKI.PL.",SEH,121,33:44:00,13:32:16,Polonia
234,1588 - CHARDAIRE Damien,V1H,77,33:47:48,13:36:04,Francia
235,1020 - KNIGHT Lee,SEH,122,33:52:12,13:40:28,Reino Unido
236,1206 - BLANES Jeremy,SEH,123,33:52:25,13:40:41,Francia
237,"239 - CATMUR Edward
THAMES HARE & HOUNDS",SEH,124,33:53:44,13:42:00,Reino Unido
238,"813 - BRENNWALD Alex
WWW.ULTRA-TRAIL.CH",SEH,125,33:54:18,13:42:34,Suiza
239,"1131 - WESTLING Jonas
IKSU MULTISPORT",V1H,78,33:55:05,13:43:21,Suecia
240,861 - CALATAYUD Christophe,V1H,79,33:57:17,13:45:33,Francia
241,1874 - VIARD Marc,V1H,80,33:57:18,13:45:34,Francia
242,"1837 - MORON Artur
DZIABNIęCI",V1H,81,34:01:22,13:49:38,Polonia
243,366 - DELEMONTEZ Didier,V2H,18,34:03:49,13:52:05,Francia
